"t";"R";"P";"S"
0;5866;5626;5668
1;5908;5600;5717
2;6022;5590;5826
3;6076;5640;5923
4;6118;5667;6018
5;6186;5692;6099
6;6128;5631;6165
7;6212;5659;6330
8;6199;5713;6328
9;6175;5713;6385
10;6179;5754;6484
11;6171;5745;6601
12;6204;5756;6681
13;6189;5789;6758
14;6146;5828;6719
15;6151;5868;6787
16;6135;5947;6779
17;6103;6034;6805
18;6073;6105;6809
19;6077;6127;6840
20;5973;6242;6797
21;5920;6312;6769
22;5892;6394;6766
23;5872;6469;6735
24;5923;6595;6719
25;5865;6621;6692
26;5865;6628;6688
27;5879;6695;6668
28;5879;6755;6637
29;5852;6839;6593
30;5875;6846;6566
31;5879;6915;6619
32;5918;6973;6591
33;5890;6976;6610
34;5850;6963;6622
35;5817;6958;6653
36;5844;6995;6671
37;5923;6990;6705
38;5905;7002;6705
39;5958;6977;6732
40;6041;6993;6701
41;6112;6957;6753
42;6124;6966;6694
43;6200;6917;6706
44;6245;6934;6731
45;6250;6840;6764
46;6329;6811;6744
47;6404;6797;6699
48;6518;6792;6661
49;6545;6806;6614
50;6603;6719;6578
51;6712;6736;6556
52;6782;6765;6525
53;6819;6749;6472
54;6892;6707;6472
55;6941;6763;6469
56;7017;6769;6423
57;7043;6760;6335
58;7047;6806;6354
59;7020;6811;6355
60;7044;6872;6334
61;7043;6893;6289
62;7117;6911;6299
63;7087;6923;6292
64;7089;6909;6316
65;7069;6915;6316
66;7078;6955;6328
67;7103;6960;6343
68;7068;6901;6367
69;7051;6912;6422
70;6989;6912;6460
71;6967;6919;6470
72;6938;6868;6539
73;6966;6762;6579
74;6938;6730;6629
75;6926;6702;6648
76;6947;6653;6672
77;6916;6638;6710
78;6924;6628;6748
79;6940;6606;6824
80;6945;6570;6792
81;6991;6548;6801
82;6943;6508;6884
83;6945;6490;6904
84;6976;6465;6936
85;7008;6412;7010
86;7071;6374;6997
87;7090;6326;7115
88;7104;6296;7145
89;7052;6255;7166
90;7087;6221;7215
91;7129;6200;7262
92;7154;6127;7272
93;7174;6127;7284
94;7192;6066;7285
95;7214;6125;7302
96;7254;6074;7339
97;7305;6065;7323
98;7363;6084;7332
99;7373;6112;7313
100;7339;6124;7302
101;7304;6167;7304
102;7291;6195;7315
103;7274;6205;7325
104;7247;6245;7291
105;7266;6296;7255
106;7238;6362;7240
107;7176;6422;7208
108;7165;6450;7218
109;7139;6486;7169
110;7079;6533;7146
111;7042;6584;7137
112;6993;6675;7122
113;6920;6749;7092
114;6835;6850;7049
115;6786;6896;7055
116;6750;6965;7074
117;6661;7074;7037
118;6602;7157;6988
119;6543;7247;6957
120;6489;7328;6956
121;6436;7359;6903
122;6377;7410;6885
123;6355;7447;6865
124;6311;7561;6883
125;6263;7629;6872
126;6193;7679;6836
127;6148;7767;6807
128;6066;7809;6799
129;6028;7892;6775
130;6006;7965;6774
131;5977;7995;6745
132;5976;8039;6787
133;5916;8087;6778
134;5907;8107;6752
135;5875;8156;6715
136;5856;8180;6721
137;5922;8173;6719
138;5950;8184;6733
139;5954;8203;6728
140;5972;8168;6704
141;5975;8189;6672
142;5999;8170;6633
143;6031;8174;6608
144;6105;8132;6564
145;6171;8089;6554
146;6206;8022;6523
147;6242;8044;6496
148;6223;8087;6431
149;6275;8077;6427
150;6316;8053;6403
151;6346;8124;6341
152;6451;8146;6297
153;6468;8127;6274
154;6498;8106;6211
155;6544;8110;6166
156;6556;8099;6128
157;6596;8073;6103
158;6643;8090;6105
159;6711;8053;6042
160;6797;8026;6025
161;6859;8025;5966
162;6905;8053;5969
163;6978;7977;5906
164;7004;7987;5872
165;7046;8010;5810
166;7128;7944;5787
167;7156;7917;5790
168;7218;7888;5747
169;7296;7813;5746
170;7353;7773;5717
171;7392;7749;5745
172;7437;7726;5724
173;7512;7715;5695
174;7552;7666;5678
175;7547;7619;5680
176;7597;7557;5716
177;7621;7505;5684
178;7651;7439;5705
179;7668;7386;5753
180;7700;7285;5795
181;7751;7245;5813
182;7782;7246;5825
183;7819;7145;5872
184;7868;7071;5909
185;7834;7012;5899
186;7916;6936;5948
187;7911;6914;5996
188;7907;6874;6023
189;7928;6861;6083
190;7944;6744;6108
191;7948;6714;6150
192;7959;6658;6231
193;7982;6568;6253
194;7991;6499;6322
195;8027;6433;6361
196;8035;6408;6378
197;8027;6373;6451
198;8031;6329;6523
199;7994;6309;6558
200;8000;6268;6648
201;7966;6209;6684
202;7928;6255;6727
203;7908;6184;6800
204;7860;6204;6840
205;7828;6183;6876
206;7772;6161;6893
207;7748;6126;6915
208;7709;6117;6964
209;7723;6135;6974
210;7667;6150;7009
211;7658;6140;7025
212;7675;6156;7045
213;7648;6177;7075
214;7616;6159;7073
215;7554;6164;7080
216;7556;6138;7072
217;7548;6136;7107
218;7521;6178;7141
219;7406;6190;7165
220;7423;6207;7155
221;7342;6208;7178
222;7283;6237;7223
223;7268;6240;7266
224;7218;6294;7312
225;7150;6317;7319
226;7137;6326;7335
227;7092;6340;7365
228;7086;6353;7368
229;7036;6456;7408
230;6981;6439;7428
231;6921;6455;7435
232;6866;6479;7459
