t;A;B
0.0;2.0;0.0
0.25252524;-0.004213881;1.8399086
0.5050505;-1.7133248;0.4456788
0.75757575;-1.1133392;-1.5113926
1.010101;0.7768144;-1.4924022
1.2626262;1.4486814;-0.3302357
1.5151515;1.2581776;1.033948
1.7676767;0.19111006;1.3279991
2.020202;-0.881676;1.1949444
2.2727273;-1.2300255;0.42582476
2.5252523;-1.1824147;-0.4700525
2.7777777;-0.8368998;-1.0681453
3.030303;-0.12387507;-1.1223487
3.282828;0.551529;-1.0703949
3.5353534;0.9841505;-0.766655
3.7878785;1.0370989;-0.21169698
4.040404;1.0076263;0.32968283
4.292929;0.87859064;0.774313
4.5454545;0.513026;0.9507074
4.7979794;0.0723135;0.94847906
5.0505047;-0.34332258;0.92335457
5.30303;-0.6908467;0.82363343
5.5555553;-0.86068535;0.5597733
5.8080807;-0.87937707;0.21733536
6.060606;-0.8634035;-0.117205314
6.3131313;-0.8338474;-0.42857894
6.5656567;-0.7282297;-0.6744236
6.818182;-0.51190495;-0.79256487
7.070707;-0.24535179;-0.81039447
7.323232;0.018360917;-0.79892385
7.5757575;0.26916257;-0.78368807
7.828283;0.49514806;-0.7408899
8.080808;0.6585414;-0.6299611
8.333333;0.7333743;-0.44985119
8.585858;0.7459151;-0.24161632
8.838384;0.73764753;-0.034930278
9.090909;0.7272579;0.1636141
9.343433;0.7079787;0.35101536
9.595959;0.6568571;0.51223165
9.848484;0.55532837;0.6231219
10.101009;0.41110784;0.67523706
10.353535;0.24908373;0.6865372
10.60606;0.086925656;0.6813744
10.858585;-0.07011496;0.6735478
11.111111;-0.22135597;0.66397756
11.363636;-0.36276037;0.6433978
11.616161;-0.48316124;0.5976383
11.868686;-0.5688126;0.51778203
12.121212;-0.61500674;0.40865937
12.373737;-0.6306595;0.28437877
12.626263;-0.6301878;0.15706305
12.878788;-0.62455845;0.03223387
13.131313;-0.61843085;-0.0890114
13.383839;-0.6106646;-0.20632212
13.636364;-0.5955564;-0.3171757
13.888888;-0.5650173;-0.41548136
14.141415;-0.51267254;-0.49312773
14.39394;-0.43824813;-0.54473406
14.646465;-0.34793627;-0.57160753
14.898991;-0.25008187;-0.5806572
15.151516;-0.15089157;-0.58002394
15.404041;-0.053312104;-0.5758039
15.656567;0.04191659;-0.5710489
15.909091;0.13473563;-0.56596005
16.161617;0.22447497;-0.55834055
16.414143;0.30894756;-0.5442063
16.666668;0.38425288;-0.51893425
16.919193;0.4457701;-0.47912067
17.171719;0.49024555;-0.42438403
17.424244;0.5175912;-0.3576624
17.67677;0.5308684;-0.28363004
17.929295;0.5346685;-0.20661657
18.181818;0.5333373;-0.12946464
18.434343;0.52999234;-0.053507168
18.686869;0.52628595;0.020894993
18.939394;0.52251;0.093731366
19.19192;0.5177752;0.16480565
19.444445;0.5102209;0.23332028
19.69697;0.49734497;0.2976378
19.949495;0.47659022;0.35536563
20.20202;0.446159;0.40389758
20.454546;0.4057344;0.44131422
20.707071;0.35665596;0.46716073
20.959597;0.30137512;0.482624
21.212122;0.24256627;0.49000946
21.464647;0.18241416;0.4919598
21.717173;0.12233217;0.49081504
21.969698;0.06303059;0.48829323
22.222221;0.004745641;0.48541313
22.474747;-0.05250757;0.48253354
22.727272;-0.10870522;0.47942516
22.979797;-0.16362962;0.47534466
23.232323;-0.21672186;0.46912974
23.484848;-0.26701376;0.45934847
23.737373;-0.3131732;0.44454995
23.989899;-0.35371593;0.4235927
24.242424;-0.38735622;0.39597076
24.49495;-0.41337967;0.36198464
24.747475;-0.43186077;0.32265988
25.0;-0.44362155;0.27944666
