"t";"G";"B";"R"
0;1;1;0.1
0.5;1.17493208766654;0.779452578873231;0.0827694001869682
1;1.51821898375077;0.649266238190247;0.068281393582254
1.5;2.1071227685592;0.608431820832942;0.0586526123062125
2;2.84489475649153;0.678251022389056;0.0550440084128784
2.5;3.29003733311199;0.884521372195137;0.0574214384882146
3;3.32259874100376;1.2192362096584;0.0650699723045323
3.5;3.13522547043989;1.63925844888538;0.0786943170867626
4;2.83872221444994;2.06440186081593;0.100576064174832
4.5;2.49098606905317;2.38303067780218;0.133184617284418
5;2.14774949309359;2.50104686868171;0.176531483067529
5.5;1.86182022596734;2.40151859069458;0.225158136758698
6;1.66802482976646;2.15037690393878;0.268608783169024
6.5;1.58071881995043;1.84516602598666;0.297334875779166
7;1.60481945090816;1.5644145290891;0.308849460680972
7.5;1.74583636466674;1.3525528337186;0.308385104946647
8;2.00393009931329;1.23012198708553;0.30528545810813
8.5;2.33866439388616;1.20683923808182;0.309305083714937
9;2.63534937104499;1.28220303994421;0.328227397673606
9.5;2.77906963995115;1.43326409744675;0.366719577590467
10;2.76169282678412;1.61018910215148;0.426973517235175
10.5;2.64593810842188;1.75130582747093;0.509071863501495
11;2.49737876162461;1.80725522218244;0.608884665258313
11.5;2.36583538599699;1.76202077633003;0.716037116085208
12;2.2846012334677;1.63725650338313;0.8162035693176
12.5;2.27087721236433;1.4757925358909;0.89800912383788
13;2.32626940665813;1.31846507039531;0.959024200369006
13.5;2.43645571214127;1.19040723364607;1.00569084081218
14;2.57229620353542;1.09949596978266;1.04814393209176
14.5;2.69919206040293;1.04094896029667;1.09453525653372
15;2.79352235206266;1.00336883224035;1.14821746033452
15.5;2.85129586907404;0.974432238883508;1.20814217364711
16;2.88223817291511;0.944904439946431;1.27078616241868
16.5;2.89939922019096;0.91015745215841;1.33199573542067
17;2.91303244522144;0.869605571301279;1.38821038978508
17.5;2.92902693692571;0.825136805732016;1.43708892413153
18;2.9495228472623;0.779503991127108;1.47763229189594
18.5;2.97417592215989;0.73521149150513;1.50993683471153
19;3.00141318215806;0.694009161293834;1.53477748781226
19.5;3.02939917146733;0.656841146137086;1.55321323798743
20;3.05660913685296;0.624023607991288;1.56632085521373
20.5;3.08204056311375;0.595474914567636;1.57506697499211
21;3.10518267254856;0.570906518179837;1.58027550912198
21.5;3.12587959934238;0.549948928758887;1.58264044179245
22;3.14418432887751;0.532221451675253;1.58275044962409
22.5;3.16024874042467;0.517364259079161;1.58111004164126
23;3.17425672136031;0.505049405242838;1.57815389268471
23.5;3.18639090739442;0.494981584730572;1.57425599282629
24;3.19682007622;0.486895084504269;1.56973547174435
24.5;3.2056970122514;0.48054965770949;1.56486130147856
25;3.21316062388262;0.475726696835284;1.55985647705176
